month,plant,country,region,market,category,product_line,sku_family,units_sold,revenue_cad,gross_margin_pct
2025-09,Oakville,CA,Ontario,GTA West,Cementitious,Binder Blends,CB-100,210,27235.36,0.265
2025-09,Oakville,CA,Ontario,GTA West,Cementitious,Specialty Mortars,SM-200,213,76152.93,0.222
2025-09,Oakville,CA,Ontario,GTA West,Aggregates,Fine Aggregate,AG-F,277,114560.12,0.295
2025-09,Oakville,CA,Ontario,GTA West,Aggregates,Coarse Aggregate,AG-C,133,47461.28,0.195
2025-09,Oakville,CA,Ontario,GTA West,Packaged,Bagged Mix,PK-B,274,26684.74,0.228
2025-09,Oakville,CA,Ontario,GTA West,Packaged,Retail Kits,PK-R,142,54207.05,0.256
2025-09,Oakville,CA,Ontario,GTA West,Logistics Add-ons,Expedite Surcharge,LX-E,79,7439.82,0.189
2025-09,Mississauga,CA,Ontario,GTA Core,Cementitious,Binder Blends,CB-100,137,24776.06,0.387
2025-09,Mississauga,CA,Ontario,GTA Core,Cementitious,Specialty Mortars,SM-200,64,24002.72,0.26
2025-09,Mississauga,CA,Ontario,GTA Core,Aggregates,Fine Aggregate,AG-F,103,36336.31,0.285
2025-09,Mississauga,CA,Ontario,GTA Core,Aggregates,Coarse Aggregate,AG-C,244,81497.97,0.395
2025-09,Mississauga,CA,Ontario,GTA Core,Packaged,Bagged Mix,PK-B,237,47062.81,0.225
2025-09,Mississauga,CA,Ontario,GTA Core,Packaged,Retail Kits,PK-R,294,61170.0,0.371
2025-09,Mississauga,CA,Ontario,GTA Core,Logistics Add-ons,Expedite Surcharge,LX-E,64,2871.42,0.325
2025-09,Hamilton,CA,Ontario,Golden Horseshoe,Cementitious,Binder Blends,CB-100,132,35340.88,0.257
2025-09,Hamilton,CA,Ontario,Golden Horseshoe,Cementitious,Specialty Mortars,SM-200,80,15588.25,0.251
2025-09,Hamilton,CA,Ontario,Golden Horseshoe,Aggregates,Fine Aggregate,AG-F,268,76883.37,0.282
2025-09,Hamilton,CA,Ontario,Golden Horseshoe,Aggregates,Coarse Aggregate,AG-C,267,54139.12,0.19
2025-09,Hamilton,CA,Ontario,Golden Horseshoe,Packaged,Bagged Mix,PK-B,220,64014.55,0.284
2025-09,Hamilton,CA,Ontario,Golden Horseshoe,Packaged,Retail Kits,PK-R,69,7599.58,0.333
2025-09,Hamilton,CA,Ontario,Golden Horseshoe,Logistics Add-ons,Expedite Surcharge,LX-E,30,4622.96,0.214
2025-09,Buffalo,US,New York,Niagara Cross-Border,Cementitious,Binder Blends,CB-100,264,25517.62,0.196
2025-09,Buffalo,US,New York,Niagara Cross-Border,Cementitious,Specialty Mortars,SM-200,227,46834.74,0.408
2025-09,Buffalo,US,New York,Niagara Cross-Border,Aggregates,Fine Aggregate,AG-F,56,16111.58,0.343
2025-09,Buffalo,US,New York,Niagara Cross-Border,Aggregates,Coarse Aggregate,AG-C,229,48004.01,0.363
2025-09,Buffalo,US,New York,Niagara Cross-Border,Packaged,Bagged Mix,PK-B,110,28860.6,0.276
2025-09,Buffalo,US,New York,Niagara Cross-Border,Packaged,Retail Kits,PK-R,182,30688.82,0.207
2025-09,Buffalo,US,New York,Niagara Cross-Border,Logistics Add-ons,Expedite Surcharge,LX-E,59,8802.38,0.208
2025-09,Detroit,US,Michigan,Auto Belt,Cementitious,Binder Blends,CB-100,173,55507.51,0.231
2025-09,Detroit,US,Michigan,Auto Belt,Cementitious,Specialty Mortars,SM-200,186,59051.93,0.42
2025-09,Detroit,US,Michigan,Auto Belt,Aggregates,Fine Aggregate,AG-F,142,17903.86,0.385
2025-09,Detroit,US,Michigan,Auto Belt,Aggregates,Coarse Aggregate,AG-C,271,38709.61,0.351
2025-09,Detroit,US,Michigan,Auto Belt,Packaged,Bagged Mix,PK-B,84,29947.84,0.412
2025-09,Detroit,US,Michigan,Auto Belt,Packaged,Retail Kits,PK-R,203,62671.44,0.35
2025-09,Detroit,US,Michigan,Auto Belt,Logistics Add-ons,Expedite Surcharge,LX-E,48,6788.17,0.351
2025-10,Oakville,CA,Ontario,GTA West,Cementitious,Binder Blends,CB-100,129,45264.59,0.302
2025-10,Oakville,CA,Ontario,GTA West,Cementitious,Specialty Mortars,SM-200,102,42331.98,0.37
2025-10,Oakville,CA,Ontario,GTA West,Aggregates,Fine Aggregate,AG-F,161,56313.77,0.186
2025-10,Oakville,CA,Ontario,GTA West,Aggregates,Coarse Aggregate,AG-C,228,55080.46,0.416
2025-10,Oakville,CA,Ontario,GTA West,Packaged,Bagged Mix,PK-B,106,30740.29,0.201
2025-10,Oakville,CA,Ontario,GTA West,Packaged,Retail Kits,PK-R,198,43239.95,0.352
2025-10,Oakville,CA,Ontario,GTA West,Logistics Add-ons,Expedite Surcharge,LX-E,62,8550.88,0.198
2025-10,Mississauga,CA,Ontario,GTA Core,Cementitious,Binder Blends,CB-100,202,60637.05,0.288
2025-10,Mississauga,CA,Ontario,GTA Core,Cementitious,Specialty Mortars,SM-200,304,60925.39,0.391
2025-10,Mississauga,CA,Ontario,GTA Core,Aggregates,Fine Aggregate,AG-F,133,45513.51,0.211
2025-10,Mississauga,CA,Ontario,GTA Core,Aggregates,Coarse Aggregate,AG-C,297,115856.32,0.193
2025-10,Mississauga,CA,Ontario,GTA Core,Packaged,Bagged Mix,PK-B,103,26632.11,0.253
2025-10,Mississauga,CA,Ontario,GTA Core,Packaged,Retail Kits,PK-R,122,23557.14,0.35
2025-10,Mississauga,CA,Ontario,GTA Core,Logistics Add-ons,Expedite Surcharge,LX-E,76,11161.8,0.383
2025-10,Hamilton,CA,Ontario,Golden Horseshoe,Cementitious,Binder Blends,CB-100,168,25327.87,0.41
2025-10,Hamilton,CA,Ontario,Golden Horseshoe,Cementitious,Specialty Mortars,SM-200,180,22847.77,0.253
2025-10,Hamilton,CA,Ontario,Golden Horseshoe,Aggregates,Fine Aggregate,AG-F,313,36401.44,0.334
2025-10,Hamilton,CA,Ontario,Golden Horseshoe,Aggregates,Coarse Aggregate,AG-C,118,16797.56,0.33
2025-10,Hamilton,CA,Ontario,Golden Horseshoe,Packaged,Bagged Mix,PK-B,212,77856.48,0.315
2025-10,Hamilton,CA,Ontario,Golden Horseshoe,Packaged,Retail Kits,PK-R,54,6059.32,0.408
2025-10,Hamilton,CA,Ontario,Golden Horseshoe,Logistics Add-ons,Expedite Surcharge,LX-E,83,7227.09,0.333
2025-10,Buffalo,US,New York,Niagara Cross-Border,Cementitious,Binder Blends,CB-100,294,112547.3,0.311
2025-10,Buffalo,US,New York,Niagara Cross-Border,Cementitious,Specialty Mortars,SM-200,194,47876.58,0.373
2025-10,Buffalo,US,New York,Niagara Cross-Border,Aggregates,Fine Aggregate,AG-F,247,45606.17,0.198
2025-10,Buffalo,US,New York,Niagara Cross-Border,Aggregates,Coarse Aggregate,AG-C,70,9656.99,0.28
2025-10,Buffalo,US,New York,Niagara Cross-Border,Packaged,Bagged Mix,PK-B,277,42477.32,0.326
2025-10,Buffalo,US,New York,Niagara Cross-Border,Packaged,Retail Kits,PK-R,200,74719.5,0.257
2025-10,Buffalo,US,New York,Niagara Cross-Border,Logistics Add-ons,Expedite Surcharge,LX-E,26,3382.16,0.304
2025-10,Detroit,US,Michigan,Auto Belt,Cementitious,Binder Blends,CB-100,94,18038.96,0.292
2025-10,Detroit,US,Michigan,Auto Belt,Cementitious,Specialty Mortars,SM-200,176,41468.18,0.214
2025-10,Detroit,US,Michigan,Auto Belt,Aggregates,Fine Aggregate,AG-F,65,11844.37,0.272
2025-10,Detroit,US,Michigan,Auto Belt,Aggregates,Coarse Aggregate,AG-C,254,42715.32,0.388
2025-10,Detroit,US,Michigan,Auto Belt,Packaged,Bagged Mix,PK-B,121,43259.32,0.404
2025-10,Detroit,US,Michigan,Auto Belt,Packaged,Retail Kits,PK-R,200,29718.88,0.218
